E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E;E
SE;P;P;P;P;P;TB;TB;TB;P;TB;TB;TB;P;P;P;P;P;SP
E;LP;P;P;P;P;TO;TO;TO;P;TO;TO;TO;P;P;LP;P;LP;E
E;P;P;P;P;P;LE;LE;LE;LP;BU;BU;BU;LP;E;L;E;L;E
E;LP;P;P;P;P;BU;BU;BU;P;LE;LE;LE;P;E;L;E;L;E
E;LP;P;P;P;P;LE;LE;LE;P;BU;BU;BU;LP;P;LP;P;LP;E
E;LP;P;P;P;LP;BU;BU;BU;P;TO;TO;TO;P;E;L;E;L;E
E;LP;P;P;P;P;TO;TO;TO;P;LE;LE;LE;LP;E;L;E;L;E
E;LP;P;P;P;P;BB;BB;BB;P;BB;BB;BB;LP;E;L;E;L;E
E;L;E;E;E;HL;E;E;E;HL;E;E;E;P;P;LP;P;LP;E
E;L;E;E;E;HL;E;E;E;HL;E;E;E;L;E;E;E;L;E
E;L;E;E;E;HL;E;E;E;HL;E;E;E;L;E;E;E;L;E
SE;LP;E;E;E;HL;PL;PL;PL;HL;PL;PL;PL;SC;P;P;P;LP;SP
